Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestgS230.npy
Trial 317 Fit 972.00 Steps 973 
Trial 318 Fit 1000.00 Steps 1000 
Trial 319 Fit 34.00 Steps 35 
Trial 320 Fit 11.00 Steps 12 
Trial 321 Fit 42.00 Steps 43 
Trial 322 Fit 1000.00 Steps 1000 
Trial 323 Fit 42.00 Steps 43 
Trial 324 Fit 15.00 Steps 16 
Trial 325 Fit 1000.00 Steps 1000 
Trial 326 Fit 1000.00 Steps 1000 
Trial 327 Fit 1000.00 Steps 1000 
Trial 328 Fit 25.00 Steps 26 
Trial 329 Fit 1000.00 Steps 1000 
Trial 330 Fit 11.00 Steps 12 
Trial 331 Fit 1000.00 Steps 1000 
Trial 332 Fit 11.00 Steps 12 
Trial 333 Fit 114.00 Steps 115 
Trial 334 Fit 11.00 Steps 12 
Trial 335 Fit 33.00 Steps 34 
Trial 336 Fit 1000.00 Steps 1000 
Trial 337 Fit 11.00 Steps 12 
Trial 338 Fit 75.00 Steps 76 
Trial 339 Fit 1000.00 Steps 1000 
Trial 340 Fit 1000.00 Steps 1000 
Trial 341 Fit 1000.00 Steps 1000 
Trial 342 Fit 32.00 Steps 33 
Trial 343 Fit 35.00 Steps 36 
Trial 344 Fit 1000.00 Steps 1000 
Trial 345 Fit 12.00 Steps 13 
Trial 346 Fit 15.00 Steps 16 
Trial 347 Fit 11.00 Steps 12 
Trial 348 Fit 29.00 Steps 30 
Trial 349 Fit 15.00 Steps 16 
Trial 350 Fit 1000.00 Steps 1000 
Trial 351 Fit 34.00 Steps 35 
Trial 352 Fit 40.00 Steps 41 
Trial 353 Fit 11.00 Steps 12 
Trial 354 Fit 281.00 Steps 282 
Trial 355 Fit 168.00 Steps 169 
Trial 356 Fit 1000.00 Steps 1000 
Trial 357 Fit 16.00 Steps 17 
Trial 358 Fit 12.00 Steps 13 
Trial 359 Fit 19.00 Steps 20 
Trial 360 Fit 212.00 Steps 213 
Trial 361 Fit 16.00 Steps 17 
Trial 362 Fit 14.00 Steps 15 
Trial 363 Fit 16.00 Steps 17 
Trial 364 Fit 13.00 Steps 14 
Trial 365 Fit 1000.00 Steps 1000 
Trial 366 Fit 263.00 Steps 264 
Trial 367 Fit 1000.00 Steps 1000 
Trial 368 Fit 14.00 Steps 15 
Trial 369 Fit 33.00 Steps 34 
Trial 370 Fit 1000.00 Steps 1000 
Trial 371 Fit 13.00 Steps 14 
Trial 372 Fit 26.00 Steps 27 
Trial 373 Fit 885.00 Steps 886 
Trial 374 Fit 84.00 Steps 85 
Trial 375 Fit 12.00 Steps 13 
Trial 376 Fit 12.00 Steps 13 
Trial 377 Fit 1000.00 Steps 1000 
Trial 378 Fit 28.00 Steps 29 
Trial 379 Fit 29.00 Steps 30 
Trial 380 Fit 1000.00 Steps 1000 
Trial 381 Fit 18.00 Steps 19 
Trial 382 Fit 1000.00 Steps 1000 
Trial 383 Fit 11.00 Steps 12 
Trial 384 Fit 17.00 Steps 18 
Trial 385 Fit 14.00 Steps 15 
Trial 386 Fit 37.00 Steps 38 
Trial 387 Fit 11.00 Steps 12 
Trial 388 Fit 1000.00 Steps 1000 
Trial 389 Fit 905.00 Steps 906 
Trial 390 Fit 1000.00 Steps 1000 
Trial 391 Fit 15.00 Steps 16 
Trial 392 Fit 13.00 Steps 14 
Trial 393 Fit 1000.00 Steps 1000 
Trial 394 Fit 12.00 Steps 13 
Trial 395 Fit 1000.00 Steps 1000 
Trial 396 Fit 1000.00 Steps 1000 
Trial 397 Fit 1000.00 Steps 1000 
Trial 398 Fit 11.00 Steps 12 
Trial 399 Fit 13.00 Steps 14 
Trial 400 Fit 16.00 Steps 17 
Trial 401 Fit 37.00 Steps 38 
Trial 402 Fit 25.00 Steps 26 
Trial 403 Fit 34.00 Steps 35 
Trial 404 Fit 1000.00 Steps 1000 
Trial 405 Fit 1000.00 Steps 1000 
Trial 406 Fit 11.00 Steps 12 
Trial 407 Fit 1000.00 Steps 1000 
Trial 408 Fit 31.00 Steps 32 
Trial 409 Fit 1000.00 Steps 1000 
Trial 410 Fit 13.00 Steps 14 
Trial 411 Fit 32.00 Steps 33 
Trial 412 Fit 12.00 Steps 13 
Trial 413 Fit 14.00 Steps 15 
Trial 414 Fit 1000.00 Steps 1000 
Trial 415 Fit 13.00 Steps 14 
Trial 416 Fit 13.00 Steps 14 
Trial 417 Fit 11.00 Steps 12 
Trial 418 Fit 1000.00 Steps 1000 
Trial 419 Fit 1000.00 Steps 1000 
Trial 420 Fit 37.00 Steps 38 
Trial 421 Fit 11.00 Steps 12 
Trial 422 Fit 1000.00 Steps 1000 
Trial 423 Fit 1000.00 Steps 1000 
Trial 424 Fit 1000.00 Steps 1000 
Trial 425 Fit 12.00 Steps 13 
Trial 426 Fit 10.00 Steps 11 
Trial 427 Fit 28.00 Steps 29 
Trial 428 Fit 16.00 Steps 17 
Trial 429 Fit 75.00 Steps 76 
Trial 430 Fit 1000.00 Steps 1000 
Trial 431 Fit 27.00 Steps 28 
Trial 432 Fit 1000.00 Steps 1000 
Trial 433 Fit 1000.00 Steps 1000 
Trial 434 Fit 1000.00 Steps 1000 
Trial 435 Fit 29.00 Steps 30 
Trial 436 Fit 35.00 Steps 36 
Trial 437 Fit 78.00 Steps 79 
Trial 438 Fit 11.00 Steps 12 
Trial 439 Fit 39.00 Steps 40 
Trial 440 Fit 1000.00 Steps 1000 
Trial 441 Fit 12.00 Steps 13 
Trial 442 Fit 1000.00 Steps 1000 
Trial 443 Fit 11.00 Steps 12 
Trial 444 Fit 12.00 Steps 13 
Trial 445 Fit 130.00 Steps 131 
Trial 446 Fit 13.00 Steps 14 
Trial 447 Fit 28.00 Steps 29 
Trial 448 Fit 13.00 Steps 14 
Trial 449 Fit 12.00 Steps 13 
Trial 450 Fit 1000.00 Steps 1000 
Trial 451 Fit 12.00 Steps 13 
Trial 452 Fit 1000.00 Steps 1000 
Trial 453 Fit 1000.00 Steps 1000 
Trial 454 Fit 34.00 Steps 35 
Trial 455 Fit 1000.00 Steps 1000 
Trial 456 Fit 1000.00 Steps 1000 
Trial 457 Fit 1000.00 Steps 1000 
Trial 458 Fit 34.00 Steps 35 
Trial 459 Fit 1000.00 Steps 1000 
Trial 460 Fit 1000.00 Steps 1000 
Trial 461 Fit 34.00 Steps 35 
Trial 462 Fit 12.00 Steps 13 
Trial 463 Fit 11.00 Steps 12 
Trial 464 Fit 35.00 Steps 36 
Trial 465 Fit 12.00 Steps 13 
Trial 466 Fit 1000.00 Steps 1000 
Trial 467 Fit 1000.00 Steps 1000 
Trial 468 Fit 1000.00 Steps 1000 
Trial 469 Fit 531.00 Steps 532 
Trial 470 Fit 77.00 Steps 78 
Trial 471 Fit 1000.00 Steps 1000 
Trial 472 Fit 146.00 Steps 147 
Trial 473 Fit 11.00 Steps 12 
Trial 474 Fit 46.00 Steps 47 
Trial 475 Fit 11.00 Steps 12 
Trial 476 Fit 41.00 Steps 42 
Trial 477 Fit 11.00 Steps 12 
Trial 478 Fit 1000.00 Steps 1000 
Trial 479 Fit 11.00 Steps 12 
Trial 480 Fit 14.00 Steps 15 
Trial 481 Fit 18.00 Steps 19 
Trial 482 Fit 1000.00 Steps 1000 
Trial 483 Fit 31.00 Steps 32 
Trial 484 Fit 12.00 Steps 13 
Trial 485 Fit 1000.00 Steps 1000 
Trial 486 Fit 33.00 Steps 34 
Trial 487 Fit 1000.00 Steps 1000 
Trial 488 Fit 14.00 Steps 15 
Trial 489 Fit 18.00 Steps 19 
Trial 490 Fit 1000.00 Steps 1000 
Trial 491 Fit 1000.00 Steps 1000 
Trial 492 Fit 12.00 Steps 13 
Trial 493 Fit 11.00 Steps 12 
Trial 494 Fit 1000.00 Steps 1000 
Trial 495 Fit 29.00 Steps 30 
Trial 496 Fit 16.00 Steps 17 
Trial 497 Fit 1000.00 Steps 1000 
Trial 498 Fit 1000.00 Steps 1000 
Trial 499 Fit 24.00 Steps 25 
Average Fit 361.77 Steps 362.44 
Postevauation: Average Fitness 361.77 Total Steps 181221
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Double-pole: pole_length_2 0.50 pole_mass_2 0.10
Network 3->18->4 feedforward with bias linear output:tanh init:xavier 
