Environment ErDpole nreplications 1 maxmsteps 10000m 
Evaluation: Episodes 10 Test Episodes 500 MaxSteps 1000
Run Test: Environment ErDpole testfile bestS230.npy
Trial 220 Fit 24.00 Steps 25 
Trial 221 Fit 1000.00 Steps 1000 
Trial 222 Fit 13.00 Steps 14 
Trial 223 Fit 1000.00 Steps 1000 
Trial 224 Fit 43.00 Steps 44 
Trial 225 Fit 1000.00 Steps 1000 
Trial 226 Fit 60.00 Steps 61 
Trial 227 Fit 16.00 Steps 17 
Trial 228 Fit 11.00 Steps 12 
Trial 229 Fit 13.00 Steps 14 
Trial 230 Fit 1000.00 Steps 1000 
Trial 231 Fit 1000.00 Steps 1000 
Trial 232 Fit 13.00 Steps 14 
Trial 233 Fit 1000.00 Steps 1000 
Trial 234 Fit 1000.00 Steps 1000 
Trial 235 Fit 12.00 Steps 13 
Trial 236 Fit 11.00 Steps 12 
Trial 237 Fit 1000.00 Steps 1000 
Trial 238 Fit 1000.00 Steps 1000 
Trial 239 Fit 11.00 Steps 12 
Trial 240 Fit 20.00 Steps 21 
Trial 241 Fit 1000.00 Steps 1000 
Trial 242 Fit 465.00 Steps 466 
Trial 243 Fit 194.00 Steps 195 
Trial 244 Fit 29.00 Steps 30 
Trial 245 Fit 1000.00 Steps 1000 
Trial 246 Fit 15.00 Steps 16 
Trial 247 Fit 1000.00 Steps 1000 
Trial 248 Fit 12.00 Steps 13 
Trial 249 Fit 1000.00 Steps 1000 
Trial 250 Fit 13.00 Steps 14 
Trial 251 Fit 1000.00 Steps 1000 
Trial 252 Fit 34.00 Steps 35 
Trial 253 Fit 11.00 Steps 12 
Trial 254 Fit 13.00 Steps 14 
Trial 255 Fit 50.00 Steps 51 
Trial 256 Fit 31.00 Steps 32 
Trial 257 Fit 881.00 Steps 882 
Trial 258 Fit 1000.00 Steps 1000 
Trial 259 Fit 911.00 Steps 912 
Trial 260 Fit 13.00 Steps 14 
Trial 261 Fit 11.00 Steps 12 
Trial 262 Fit 39.00 Steps 40 
Trial 263 Fit 29.00 Steps 30 
Trial 264 Fit 17.00 Steps 18 
Trial 265 Fit 1000.00 Steps 1000 
Trial 266 Fit 1000.00 Steps 1000 
Trial 267 Fit 28.00 Steps 29 
Trial 268 Fit 52.00 Steps 53 
Trial 269 Fit 11.00 Steps 12 
Trial 270 Fit 38.00 Steps 39 
Trial 271 Fit 53.00 Steps 54 
Trial 272 Fit 11.00 Steps 12 
Trial 273 Fit 37.00 Steps 38 
Trial 274 Fit 214.00 Steps 215 
Trial 275 Fit 13.00 Steps 14 
Trial 276 Fit 1000.00 Steps 1000 
Trial 277 Fit 27.00 Steps 28 
Trial 278 Fit 21.00 Steps 22 
Trial 279 Fit 11.00 Steps 12 
Trial 280 Fit 15.00 Steps 16 
Trial 281 Fit 32.00 Steps 33 
Trial 282 Fit 13.00 Steps 14 
Trial 283 Fit 11.00 Steps 12 
Trial 284 Fit 1000.00 Steps 1000 
Trial 285 Fit 1000.00 Steps 1000 
Trial 286 Fit 13.00 Steps 14 
Trial 287 Fit 1000.00 Steps 1000 
Trial 288 Fit 30.00 Steps 31 
Trial 289 Fit 15.00 Steps 16 
Trial 290 Fit 1000.00 Steps 1000 
Trial 291 Fit 1000.00 Steps 1000 
Trial 292 Fit 10.00 Steps 11 
Trial 293 Fit 16.00 Steps 17 
Trial 294 Fit 29.00 Steps 30 
Trial 295 Fit 1000.00 Steps 1000 
Trial 296 Fit 1000.00 Steps 1000 
Trial 297 Fit 21.00 Steps 22 
Trial 298 Fit 34.00 Steps 35 
Trial 299 Fit 11.00 Steps 12 
Trial 300 Fit 12.00 Steps 13 
Trial 301 Fit 1000.00 Steps 1000 
Trial 302 Fit 1000.00 Steps 1000 
Trial 303 Fit 11.00 Steps 12 
Trial 304 Fit 1000.00 Steps 1000 
Trial 305 Fit 10.00 Steps 11 
Trial 306 Fit 11.00 Steps 12 
Trial 307 Fit 1000.00 Steps 1000 
Trial 308 Fit 1000.00 Steps 1000 
Trial 309 Fit 34.00 Steps 35 
Trial 310 Fit 283.00 Steps 284 
Trial 311 Fit 34.00 Steps 35 
Trial 312 Fit 30.00 Steps 31 
Trial 313 Fit 11.00 Steps 12 
Trial 314 Fit 1000.00 Steps 1000 
Trial 315 Fit 11.00 Steps 12 
Trial 316 Fit 1000.00 Steps 1000 
Trial 317 Fit 1000.00 Steps 1000 
Trial 318 Fit 1000.00 Steps 1000 
Trial 319 Fit 32.00 Steps 33 
Trial 320 Fit 11.00 Steps 12 
Trial 321 Fit 41.00 Steps 42 
Trial 322 Fit 1000.00 Steps 1000 
Trial 323 Fit 44.00 Steps 45 
Trial 324 Fit 16.00 Steps 17 
Trial 325 Fit 1000.00 Steps 1000 
Trial 326 Fit 1000.00 Steps 1000 
Trial 327 Fit 1000.00 Steps 1000 
Trial 328 Fit 25.00 Steps 26 
Trial 329 Fit 1000.00 Steps 1000 
Trial 330 Fit 11.00 Steps 12 
Trial 331 Fit 1000.00 Steps 1000 
Trial 332 Fit 11.00 Steps 12 
Trial 333 Fit 107.00 Steps 108 
Trial 334 Fit 11.00 Steps 12 
Trial 335 Fit 34.00 Steps 35 
Trial 336 Fit 1000.00 Steps 1000 
Trial 337 Fit 11.00 Steps 12 
Trial 338 Fit 81.00 Steps 82 
Trial 339 Fit 1000.00 Steps 1000 
Trial 340 Fit 1000.00 Steps 1000 
Trial 341 Fit 1000.00 Steps 1000 
Trial 342 Fit 33.00 Steps 34 
Trial 343 Fit 50.00 Steps 51 
Trial 344 Fit 104.00 Steps 105 
Trial 345 Fit 12.00 Steps 13 
Trial 346 Fit 17.00 Steps 18 
Trial 347 Fit 11.00 Steps 12 
Trial 348 Fit 28.00 Steps 29 
Trial 349 Fit 14.00 Steps 15 
Trial 350 Fit 1000.00 Steps 1000 
Trial 351 Fit 34.00 Steps 35 
Trial 352 Fit 38.00 Steps 39 
Trial 353 Fit 11.00 Steps 12 
Trial 354 Fit 1000.00 Steps 1000 
Trial 355 Fit 56.00 Steps 57 
Trial 356 Fit 1000.00 Steps 1000 
Trial 357 Fit 17.00 Steps 18 
Trial 358 Fit 12.00 Steps 13 
Trial 359 Fit 20.00 Steps 21 
Trial 360 Fit 735.00 Steps 736 
Trial 361 Fit 16.00 Steps 17 
Trial 362 Fit 14.00 Steps 15 
Trial 363 Fit 16.00 Steps 17 
Trial 364 Fit 13.00 Steps 14 
Trial 365 Fit 1000.00 Steps 1000 
Trial 366 Fit 1000.00 Steps 1000 
Trial 367 Fit 1000.00 Steps 1000 
Trial 368 Fit 15.00 Steps 16 
Trial 369 Fit 32.00 Steps 33 
Trial 370 Fit 1000.00 Steps 1000 
Trial 371 Fit 13.00 Steps 14 
Trial 372 Fit 26.00 Steps 27 
Trial 373 Fit 1000.00 Steps 1000 
Trial 374 Fit 83.00 Steps 84 
Trial 375 Fit 12.00 Steps 13 
Trial 376 Fit 12.00 Steps 13 
Trial 377 Fit 1000.00 Steps 1000 
Trial 378 Fit 28.00 Steps 29 
Trial 379 Fit 29.00 Steps 30 
Trial 380 Fit 1000.00 Steps 1000 
Trial 381 Fit 18.00 Steps 19 
Trial 382 Fit 1000.00 Steps 1000 
Trial 383 Fit 11.00 Steps 12 
